objectid,facilityid,streetname,address,lifecyclestatus,installdate,legacyid,fireid,firehydid,datasource,plan_1,plan_1_date,plan_2,plan_2_date,owner,comments,id_2017,assoc_valve,type,make,model,year,nozzle_l_size,nozzle_r_size,nozzle_c_size,enabled,created_user,created_date,last_edited_user,last_edited_date,globalid,lon,lat
11911,16JH70,STREET_FEA 3800,73 OPP (STREET_FEA 3800),IS,1086048000000,1610740036,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=4237; METERED_FL=U; PLACEMENT=MIGRATED,16JH70,,,MU,MUCENT,2004,,,,1,,1177632000000,blundonr,1238371200000,{C5A5259D-A27F-534B-A30E-B0E5A5DB0CB6},-71.079452884999966,42.315792443000078
11912,27MH54,STREET_FEA 947,95 (STREET_FEA 947),IS,,2713740147,,,MANUAL,,,,,BWSC,SERVICE_AR=NL; CROSS_STRE=1374; METERED_FL=U; PLACEMENT=MIGRATED,27MH54,,,KE,KEK81-A,1994,,,,1,,1177632000000,connorsm,1217894400000,{8465B30E-EB58-5997-99F9-DDE8C4EBC38F},-71.035921631999940,42.372242036000046
11913,18JH102,STREET_FEA 1007,34 OPP (STREET_FEA 1007),IS,1312502400000,1810740127,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=1390; METERED_FL=U; PLACEMENT=MIGRATED,18JH102,,,KE,KEK81-A,2010,,,,1,,1177632000000,hoffmanr,1456358400000,{445D6F29-2694-5489-AED3-39B21897D9F9},-71.073047517999953,42.324604866000072
11914,22IH112,STREET_FEA 496,STREET_FEA 496,IS,,2209740181,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=497; METERED_FL=U; PLACEMENT=MIGRATED,22IH112,,,DA,ADB-84-B,1990,,,,1,,1177632000000,blundonr,1255478400000,{D6ABC00B-3EE1-54E9-B8DF-0B3E8ECD10F4},-71.084063165999964,42.345916874000068
11915,23LH662,STREET_FEA 3916,86 (STREET_FEA 3916),IS,877910400000,2312740230,,,GIS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=3099; METERED_FL=U; PLACEMENT=MIGRATED,23LH662,,,KE,KEK81-A,1994,,,,1,,1177632000000,blundonr,1271808000000,{068FEC92-2790-55E5-B60E-AE972080CFDF},-71.048466856999937,42.353939629000081
11916,5FH68,STREET_FEA 757,25 (STREET_FEA 757),IS,,506740073,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=1873; METERED_FL=U; PLACEMENT=MIGRATED,5FH68,,,KE,KEK81-A,1998,,,,1,,1177632000000,blundonr,1255478400000,{71CB17A1-2BA0-5152-A9D7-256DF0B8881D},-71.126183834999949,42.254583704000027
11917,10CH22,STREET_FEA 1159,25 (STREET_FEA 1159),IS,1210723200000,1003740023,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=384; METERED_FL=U; PLACEMENT=MIGRATED,10CH22,,,KE,KEK81-A,2008,,,,1,,1177632000000,chalmersh,1273622400000,{C3452700-5C0D-5307-8959-5597BC4CA7E4},-71.170428123999955,42.283205844000065
11918,15FH36,STREET_FEA 2937,9 (STREET_FEA 2937),IS,,1506740002,,,MANUAL,,,,,BWSC,SERVICE_AR=SEH; CROSS_STRE=865; METERED_FL=U; PLACEMENT=MIGRATED,15FH36,,,MU,MUCENT,2005,,,,1,,1177632000000,denapolipd,1250035200000,{18499F31-809D-5323-B2C1-814AE12924E7},-71.125292524999963,42.311202479000031
11919,18IH10,STREET_FEA 1493,STREET_FEA 1493,IS,923875200000,1809740146,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=2083; METERED_FL=U; PLACEMENT=MIGRATED,18IH10,,,KE,KEK81-A,1994,,,,1,,1177632000000,palaciolv,1231804800000,{BE284D8A-90AB-5271-A113-6F80FB841335},-71.092495971999938,42.323814962000029
11920,16JH138,STREET_FEA 2648,17 (STREET_FEA 2648),IS,,1610740216,,,GIS,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=2649; METERED_FL=U; PLACEMENT=MIGRATED,16JH138,,,US,USSEN,1985,,,,1,,1177632000000,blundonr,1255478400000,{09F00E0B-A4CE-57E8-AA40-8899D0CAF74E},-71.072491179999986,42.315282741000033
