facilityid,streetname,address,lifecyclestatus,address_distance_ft,lon,lat,source,source_pulled_at,source_address,source_streetname,address_confidence,address_source,address_source_id,nearest_address_label,nearest_address_streetname,nearest_address_lat,nearest_address_lon,nearest_intersection_label,nearest_intersection_distance_ft,address_label_type
HYD-00585.0,Marginal Street,240 Marginal Street,In Service,102,-71.03012311887203,42.38667565514899,https://services9.arcgis.com/diuwWhOq89A0FdTw/arcgis/rest/services/Public_Facing_Water_Distribution_System_View/FeatureServer/501007,2026-05-09T18:16:22+00:00,240 Marginal Street,Marginal Street,derived_100_150_ft,massgis-chelsea,3684414,240 Marginal Street,Marginal Street,42.38648012,-71.03039742,Highland Street & Suffolk Street,251,nearest_address
HYD-00586.0,Lafayette Avenue,5 Lafayette Avenue,In Service,148,-71.02981613619306,42.400661468271636,https://services9.arcgis.com/diuwWhOq89A0FdTw/arcgis/rest/services/Public_Facing_Water_Distribution_System_View/FeatureServer/501007,2026-05-09T18:16:22+00:00,5 Lafayette Avenue,Lafayette Avenue,derived_100_150_ft,massgis-chelsea,3690224,5 Lafayette Avenue,Lafayette Avenue,42.40028994,-71.03003804,Crest Avenue & Hillside Avenue,357,nearest_address
HYD-00587.0,Library Street,72 Library Street,In Service,42,-71.02966639316942,42.39324639602828,https://services9.arcgis.com/diuwWhOq89A0FdTw/arcgis/rest/services/Public_Facing_Water_Distribution_System_View/FeatureServer/501007,2026-05-09T18:16:22+00:00,72 Library Street,Library Street,derived_0_50_ft,massgis-chelsea,3702614,72 Library Street,Library Street,42.39329825,-71.02952636,Highland Street & Library Street,370,nearest_address
HYD-00590.0,Revere Beach Parkway,1018 Revere Beach Parkway,In Service,83,-71.02303754182867,42.403727382229455,https://services9.arcgis.com/diuwWhOq89A0FdTw/arcgis/rest/services/Public_Facing_Water_Distribution_System_View/FeatureServer/501007,2026-05-09T18:16:22+00:00,1018 Revere Beach Parkway,Revere Beach Parkway,derived_50_100_ft,massgis-chelsea,3689043,1018 Revere Beach Parkway,Revere Beach Parkway,42.40368769,-71.02334044,Parkway Plaza & Stockton Street,461,nearest_address
HYD-00591.0,Jefferson Avenue,41 Jefferson Avenue,In Service,49,-71.03221345952896,42.403342771633625,https://services9.arcgis.com/diuwWhOq89A0FdTw/arcgis/rest/services/Public_Facing_Water_Distribution_System_View/FeatureServer/501007,2026-05-09T18:16:22+00:00,41 Jefferson Avenue,Jefferson Avenue,derived_0_50_ft,massgis-chelsea,3687924,41 Jefferson Avenue,Jefferson Avenue,42.40320707,-71.03220174,Murray Street & Revere Beach Parkway,347,nearest_address
HYD-00592.0,Washington Avenue,327 Washington Avenue,In Service,64,-71.03606259083924,42.403358487367775,https://services9.arcgis.com/diuwWhOq89A0FdTw/arcgis/rest/services/Public_Facing_Water_Distribution_System_View/FeatureServer/501007,2026-05-09T18:16:22+00:00,327 Washington Avenue,Washington Avenue,derived_50_100_ft,massgis-chelsea,3697482,327 Washington Avenue,Washington Avenue,42.40330178,-71.03583743,Reynolds Avenue & Washington Avenue,67,nearest_address
HYD-00593.0,Washington Avenue,294 Washington Avenue,In Service,37,-71.03490882821202,42.4016246165319,https://services9.arcgis.com/diuwWhOq89A0FdTw/arcgis/rest/services/Public_Facing_Water_Distribution_System_View/FeatureServer/501007,2026-05-09T18:16:22+00:00,294 Washington Avenue,Washington Avenue,derived_0_50_ft,massgis-chelsea,3687038,294 Washington Avenue,Washington Avenue,42.40157362,-71.03502980,Jefferson Avenue & Washington Avenue,224,nearest_address
HYD-00594.0,Washington Avenue,254 Washington Avenue,In Service,50,-71.03368401948971,42.400580020200316,https://services9.arcgis.com/diuwWhOq89A0FdTw/arcgis/rest/services/Public_Facing_Water_Distribution_System_View/FeatureServer/501007,2026-05-09T18:16:22+00:00,254 Washington Avenue,Washington Avenue,derived_0_50_ft,massgis-chelsea,3689962,254 Washington Avenue,Washington Avenue,42.40054187,-71.03386224,Carmel Street & Washington Avenue,36,nearest_address
HYD-00595.0,Washington Avenue,215 Washington Avenue,In Service,52,-71.03218085635487,42.399517780608825,https://services9.arcgis.com/diuwWhOq89A0FdTw/arcgis/rest/services/Public_Facing_Water_Distribution_System_View/FeatureServer/501007,2026-05-09T18:16:22+00:00,215 Washington Avenue,Washington Avenue,derived_50_100_ft,massgis-chelsea,3695303,215 Washington Avenue,Washington Avenue,42.39965947,-71.03215114,Spruce Street & Washington Avenue,38,nearest_address
HYD-00596.0,Washington Avenue,204 Washington Avenue,In Service,40,-71.03218422963774,42.39931356313594,https://services9.arcgis.com/diuwWhOq89A0FdTw/arcgis/rest/services/Public_Facing_Water_Distribution_System_View/FeatureServer/501007,2026-05-09T18:16:22+00:00,204 Washington Avenue,Washington Avenue,derived_0_50_ft,massgis-chelsea,3696173,204 Washington Avenue,Washington Avenue,42.39923735,-71.03228947,Spruce Street & Washington Avenue,37,nearest_address
HYD-00597.0,Washington Avenue,185 Washington Avenue,In Service,47,-71.03140440093189,42.398854754920904,https://services9.arcgis.com/diuwWhOq89A0FdTw/arcgis/rest/services/Public_Facing_Water_Distribution_System_View/FeatureServer/501007,2026-05-09T18:16:22+00:00,185 Washington Avenue,Washington Avenue,derived_0_50_ft,massgis-chelsea,3695549,185 Washington Avenue,Washington Avenue,42.39897662,-71.03134800,Silk Street & Washington Avenue,160,nearest_address
