objectid,facilityid,streetname,address,lifecyclestatus,installdate,legacyid,fireid,firehydid,datasource,plan_1,plan_1_date,plan_2,plan_2_date,owner,comments,id_2017,assoc_valve,type,make,model,year,nozzle_l_size,nozzle_r_size,nozzle_c_size,enabled,created_user,created_date,last_edited_user,last_edited_date,globalid,lon,lat
7160,20HH42,STREET_FEA 2595,229 OPP (STREET_FEA 2595),IS,960595200000,2008740086,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=5850; METERED_FL=U; PLACEMENT=MIGRATED,20HH42,,,KE,KEK81-A,1998,,,,1,,1177632000000,mulline,1231804800000,{EE67334D-0FE1-5A20-925B-2A5E4EF2FB2C},-71.102607445999979,42.336732214000051
7191,21HH10,STREET_FEA 1640,398 (STREET_FEA 1640),IS,,2108740139,,,GIS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=5850; METERED_FL=U; PLACEMENT=MIGRATED,21HH10,,,MU,MUCENT,1981,,,,1,,1177632000000,blundonr,1255478400000,{2E8E0DE9-92AA-5443-948F-8485A301C60E},-71.101421769999945,42.340811016000032
7197,21GH20,STREET_FEA 3615,STREET_FEA 3615,IS,,2107740017,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=3338; METERED_FL=U; PLACEMENT=MIGRATED,21GH20,,,KE,KEK81-A,1994,,,,1,,1177632000000,mulline,1231891200000,{324E728D-5F1D-5F22-8F57-301E25FE8232},-71.108139947999973,42.341127451000034
7254,21HH16,STREET_FEA 697,321 (STREET_FEA 697),IS,,2108740143,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=3899; METERED_FL=U; PLACEMENT=MIGRATED,21HH16,,,KE,KEK81-A,2005,,,,1,,1177632000000,blundonr,1255478400000,{36FB562D-76D6-59DB-8AD8-DCC9E0B36C6E},-71.105526815999951,42.340698481000061
7287,21HH4,STREET_FEA 1640,STREET_FEA 1640,IS,,2108740168,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=3196; METERED_FL=U; PLACEMENT=MIGRATED,21HH4,,,MU,MUCENT,1981,,,,1,,1177632000000,blundonr,1255478400000,{0E53872F-CBAF-5C35-8901-99C14A8CA105},-71.099201175999951,42.339127438000048
7363,20HH60,STREET_FEA 1571,STREET_FEA 1571,IS,,2008740052,,,GIS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=4143; METERED_FL=U; PLACEMENT=MIGRATED,20HH60,,,KE,KEK11,1977,,,,1,,1177632000000,blundonr,1255478400000,{10CBB5F4-D2F7-562A-A492-AFEBCC7EC96E},-71.099025956999981,42.337563421000027
7371,20HH54,STREET_FEA 3196,115 OPP (STREET_FEA 3196),IS,,2008740068,,,GIS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=4143; METERED_FL=U; PLACEMENT=MIGRATED,20HH54,,,MU,MUCENT,1989,,,,1,,1177632000000,blundonr,1255478400000,{B7105872-FC22-5421-AEF6-CE516EB61BB0},-71.100270341999988,42.337226962000045
7523,21HH28,STREET_FEA 3615,114 (STREET_FEA 3615),IS,,2108740036,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=697; METERED_FL=U; PLACEMENT=MIGRATED,21HH28,,,KE,KEK81-A,1994,,,,1,,1177632000000,blundonr,1255478400000,{0F05AA32-119E-5A2B-BE33-20B368AD3AB4},-71.104191126999979,42.343237707000071
7570,21GH24,STREET_FEA 697,STREET_FEA 697,IS,,2107740032,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=3899; METERED_FL=U; PLACEMENT=MIGRATED,21GH24,,,KE,KEK81-A,1995,,,,1,,1177632000000,mulline,1231891200000,{16B22A58-67D5-5C27-9927-8A9043139ABD},-71.106140441999969,42.340100928000027
8281,20GH54,STREET_FEA 532,STREET_FEA 532,IS,,2007740002,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=2595; METERED_FL=U; PLACEMENT=MIGRATED,20GH54,,,MU,MUCENT,1979,,,,1,,1177632000000,blundonr,1255478400000,{A79943A8-F7D4-54D0-B4DA-EDA4648F4440},-71.105787885999973,42.338506194000047
